,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,1453-82-3,I-NICOTINAMIDE,8.10E+00,9.04E+00,9.67E+00,6.54E+00,3.09E+01,2.56E-06,6.12E+00,7.08E+00,4.05E+00,4.52E+00,4.83E+00,3.27E+00,1.55E+01,1.28E-06,3.06E+00,3.54E+00,,F
,14698-29-4,OXOLINIC ACID,6.82E+04,6.75E+04,6.71E+04,6.93E+04,2.18E+05,1.87E-04,9.31E+04,9.25E+04,3.41E+04,3.38E+04,3.36E+04,3.47E+04,1.09E+05,9.37E-05,4.65E+04,4.63E+04,,F
,14816-18-3,PHOXIM,6.85E+02,9.68E+02,1.16E+03,2.15E+02,1.44E+05,9.34E-01,5.21E+01,5.21E+01,3.43E+02,4.84E+02,5.78E+02,1.07E+02,7.22E+04,4.67E-01,2.61E+01,2.61E+01,,F
,148-18-5,"DIETHYLCARBAMODITHIOIC ACID, SODIUM SALT",3.70E+03,3.83E+03,3.92E+03,3.49E+03,1.27E+04,1.72E-08,4.27E+03,4.27E+03,1.85E+03,1.92E+03,1.96E+03,1.74E+03,6.35E+03,8.60E-09,2.13E+03,2.13E+03,,F
,148-24-3,8-QUINOLINOL,6.68E+00,9.83E+00,1.19E+01,1.45E+00,1.26E+03,1.30E-03,4.56E-01,7.90E-01,3.34E+00,4.91E+00,5.96E+00,7.23E-01,6.29E+02,6.49E-04,2.28E-01,3.95E-01,,F
,148-79-8,THIABENDAZOLE,6.45E+03,8.22E+03,9.39E+03,3.52E+03,3.40E+04,1.07E-04,3.87E+03,3.13E+03,3.23E+03,4.11E+03,4.70E+03,1.76E+03,1.70E+04,5.36E-05,1.94E+03,1.56E+03,,
,149-30-4,2-MERCAPTOBENZOTHIAZOLE,3.19E+02,4.36E+02,5.15E+02,1.22E+02,7.61E+03,1.46E-02,1.13E+02,1.45E+02,1.59E+02,2.18E+02,2.58E+02,6.12E+01,3.80E+03,7.30E-03,5.66E+01,7.24E+01,,
,150-50-5,MERPHOS,1.21E-01,1.92E-01,2.40E-01,3.34E-03,5.43E+01,3.08E-05,7.30E-04,7.30E-04,6.07E-02,9.62E-02,1.20E-01,1.67E-03,2.71E+01,1.54E-05,3.65E-04,3.65E-04,,F
,150-68-5,MONURON,1.50E+04,1.64E+04,1.73E+04,1.27E+04,5.56E+04,2.46E-02,1.34E+04,1.34E+04,7.50E+03,8.18E+03,8.64E+03,6.36E+03,2.78E+04,1.23E-02,6.72E+03,6.72E+03,,
,150-76-5,P-METHOXYPHENOL,5.00E+01,6.26E+01,7.10E+01,2.89E+01,5.83E+02,1.66E-03,4.02E+01,4.02E+01,2.50E+01,3.13E+01,3.55E+01,1.45E+01,2.91E+02,8.32E-04,2.01E+01,2.01E+01,,F
,15263-53-3,Cartap,1.10E+04,1.63E+04,1.99E+04,2.09E+03,8.97E+04,8.47E-08,1.69E+02,2.64E+02,5.50E+03,8.17E+03,9.95E+03,1.05E+03,4.48E+04,4.23E-08,8.44E+01,1.32E+02,,F
,15299-99-7,"N,N-DIETHYL-2-(1-NAPHTHALENYLOXY)PROPANAMIDE",5.25E+02,7.59E+02,9.16E+02,1.34E+02,3.92E+03,3.40E-04,1.21E+02,1.21E+02,2.62E+02,3.80E+02,4.58E+02,6.70E+01,1.96E+03,1.70E-04,6.06E+01,6.06E+01,,
,1563-66-2,Carbofuran,1.76E+04,2.38E+04,2.79E+04,7.32E+03,1.12E+05,7.34E-02,5.86E+03,5.86E+03,8.81E+03,1.19E+04,1.40E+04,3.66E+03,5.61E+04,3.67E-02,2.93E+03,2.93E+03,,
,156-60-5,"1,2-DICHLOROETHENE (TRANS)",1.27E-02,1.27E-02,1.28E-02,1.26E-02,2.00E+01,2.46E-03,7.03E-01,7.03E-01,6.35E-03,6.37E-03,6.38E-03,6.32E-03,1.00E+01,1.23E-03,3.52E-01,3.52E-01,,F
,1610-18-0,PROMETON,7.49E+02,8.15E+02,8.59E+02,6.39E+02,2.84E+03,2.79E-03,7.21E+02,7.19E+02,3.75E+02,4.08E+02,4.30E+02,3.20E+02,1.42E+03,1.39E-03,3.60E+02,3.60E+02,,
,1634-04-4,Methyl t-butyl ether,2.26E-02,2.26E-02,2.26E-02,2.26E-02,6.64E+00,1.99E-03,6.23E-01,6.23E-01,1.13E-02,1.13E-02,1.13E-02,1.13E-02,3.32E+00,9.95E-04,3.11E-01,3.11E-01,,
,1634-78-2,MALAOXON,1.25E+05,1.31E+05,1.36E+05,1.15E+05,4.29E+05,7.75E-02,1.27E+05,1.27E+05,6.27E+04,6.57E+04,6.78E+04,5.76E+04,2.14E+05,3.88E-02,6.34E+04,6.34E+04,,F
,16423-68-0,Erythrosine,4.55E+01,4.55E+01,4.55E+01,4.55E+01,1.34E+02,1.47E-17,6.38E+01,6.38E+01,2.28E+01,2.27E+01,2.27E+01,2.28E+01,6.68E+01,7.36E-18,3.19E+01,3.19E+01,,F
,16672-87-0,ETHEPHON,2.62E+02,3.44E+02,3.99E+02,1.25E+02,1.36E+03,2.15E-14,1.02E+02,1.02E+02,1.31E+02,1.72E+02,2.00E+02,6.26E+01,6.80E+02,1.07E-14,5.10E+01,5.09E+01,,F
,16752-77-5,METHOMYL,5.33E+03,7.18E+03,8.41E+03,2.25E+03,2.89E+04,6.90E-05,1.72E+03,1.72E+03,2.66E+03,3.59E+03,4.20E+03,1.12E+03,1.45E+04,3.45E-05,8.59E+02,8.59E+02,,
,1689-84-5,BROMOXYNIL,2.67E+03,3.89E+03,4.70E+03,6.46E+02,1.65E+04,1.28E-07,9.94E+01,3.60E+02,1.34E+03,1.94E+03,2.35E+03,3.23E+02,8.25E+03,6.39E-08,4.97E+01,1.80E+02,,F
,1689-99-2,Bromoxynil octanoate,1.65E+03,1.85E+03,1.99E+03,1.32E+03,1.85E+05,6.94E+01,6.00E+01,6.00E+01,8.26E+02,9.26E+02,9.93E+02,6.59E+02,9.27E+04,3.47E+01,3.00E+01,3.00E+01,,
,1694-09-3,"C,I, ACID VIOLET 49, SODIUM SALT",3.71E+01,3.71E+01,3.70E+01,3.71E+01,1.08E+02,1.21E-34,5.20E+01,5.20E+01,1.85E+01,1.85E+01,1.85E+01,1.86E+01,5.42E+01,6.05E-35,2.60E+01,2.60E+01,,F
,17109-49-8,EDIFENPHOS,2.08E+03,3.07E+03,3.74E+03,4.20E+02,1.42E+04,9.24E-04,9.39E+01,9.39E+01,1.04E+03,1.54E+03,1.87E+03,2.10E+02,7.11E+03,4.62E-04,4.69E+01,4.69E+01,,F
,17804-35-2,Benomyl,3.51E+03,5.00E+03,5.99E+03,1.03E+03,2.41E+04,1.08E-06,7.77E+02,1.06E+03,1.76E+03,2.50E+03,3.00E+03,5.15E+02,1.20E+04,5.42E-07,3.88E+02,5.30E+02,,
,18181-80-1,"ISOPROPYL 4,4'DIBROMOBENZILATE",7.43E+02,8.92E+02,9.91E+02,4.96E+02,3.39E+04,8.80E-01,5.35E+01,5.35E+01,3.72E+02,4.46E+02,4.95E+02,2.48E+02,1.70E+04,4.40E-01,2.68E+01,2.68E+01,,
,1825-21-4,PENTACHLOROANISOLE,3.59E+02,3.65E+02,3.69E+02,3.49E+02,5.00E+04,1.27E+02,2.03E+02,2.03E+02,1.79E+02,1.82E+02,1.84E+02,1.74E+02,2.50E+04,6.37E+01,1.02E+02,1.02E+02,,F
,1836-75-5,NITROFEN,5.74E+02,6.18E+02,6.47E+02,5.01E+02,2.10E+04,6.40E+00,7.22E+00,7.22E+00,2.87E+02,3.09E+02,3.24E+02,2.51E+02,1.05E+04,3.20E+00,3.61E+00,3.61E+00,,
,1861-32-1,Dimethyl tetrachloroterephthalate,1.12E+02,1.19E+02,1.24E+02,9.97E+01,3.56E+03,9.00E-01,1.05E+01,1.05E+01,5.58E+01,5.94E+01,6.18E+01,4.98E+01,1.78E+03,4.50E-01,5.26E+00,5.26E+00,,
,1861-40-1,Benefin,1.94E+01,2.17E+01,2.33E+01,1.55E+01,1.80E+04,5.21E+00,2.38E+01,2.38E+01,9.69E+00,1.09E+01,1.16E+01,7.76E+00,9.00E+03,2.60E+00,1.19E+01,1.19E+01,,
,1897-45-6,Chlorothalonil,4.27E+04,4.47E+04,4.61E+04,3.94E+04,1.14E+06,8.15E+02,8.26E+03,8.26E+03,2.14E+04,2.24E+04,2.30E+04,1.97E+04,5.72E+05,4.07E+02,4.13E+03,4.13E+03,,
,1912-24-9,atrazine,1.35E+04,1.87E+04,2.21E+04,4.86E+03,8.74E+04,5.59E-02,3.43E+03,3.43E+03,6.75E+03,9.34E+03,1.11E+04,2.43E+03,4.37E+04,2.80E-02,1.71E+03,1.71E+03,,
,1918-16-7,PROPACHLOR,1.26E+03,1.61E+03,1.84E+03,6.89E+02,7.44E+04,8.24E-01,3.64E+02,3.64E+02,6.32E+02,8.04E+02,9.19E+02,3.45E+02,3.72E+04,4.12E-01,1.82E+02,1.82E+02,,
,1929-77-7,VERNOLATE,1.35E+01,1.38E+01,1.40E+01,1.30E+01,4.40E+03,8.35E-01,7.33E+01,7.33E+01,6.75E+00,6.90E+00,7.00E+00,6.49E+00,2.20E+03,4.18E-01,3.67E+01,3.67E+01,,
,1934-21-0,Tartrazine,2.10E+00,2.10E+00,2.10E+00,2.09E+00,6.87E+00,2.78E-24,2.88E+00,2.88E+00,1.05E+00,1.05E+00,1.05E+00,1.04E+00,3.43E+00,1.39E-24,1.44E+00,1.44E+00,,F
,1948-33-0,"1,4-Benzenediol, 2-(1,1-dimethylethyl)-",3.45E+03,4.66E+03,5.47E+03,1.43E+03,5.61E+04,1.85E-01,2.05E+03,2.05E+03,1.72E+03,2.33E+03,2.73E+03,7.15E+02,2.81E+04,9.24E-02,1.03E+03,1.03E+03,,F
,19666-30-9,OXADIAZON,2.73E+04,3.67E+04,4.29E+04,1.17E+04,6.40E+05,3.54E+00,8.56E+03,8.56E+03,1.36E+04,1.83E+04,2.15E+04,5.84E+03,3.20E+05,1.77E+00,4.28E+03,4.28E+03,,
,2008-41-5,BUTYLATE,2.92E+00,2.99E+00,3.03E+00,2.82E+00,1.60E+03,2.92E-01,1.75E+01,1.75E+01,1.46E+00,1.49E+00,1.51E+00,1.41E+00,8.01E+02,1.46E-01,8.76E+00,8.76E+00,,
,2032-65-7,METHIOCARB,2.98E+04,4.13E+04,4.89E+04,1.07E+04,1.81E+05,4.08E-02,7.16E+03,7.16E+03,1.49E+04,2.06E+04,2.45E+04,5.35E+03,9.03E+04,2.04E-02,3.58E+03,3.58E+03,,
,206-44-0,fluoranthene,6.65E+02,8.10E+02,9.07E+02,4.24E+02,1.14E+05,5.47E+01,3.13E+02,3.13E+02,3.33E+02,4.05E+02,4.53E+02,2.12E+02,5.70E+04,2.74E+01,1.56E+02,1.56E+02,,
,2104-64-5,EPN,1.36E+04,1.94E+04,2.33E+04,4.01E+03,1.55E+06,5.08E+00,1.03E+03,1.03E+03,6.82E+03,9.71E+03,1.16E+04,2.01E+03,7.76E+05,2.54E+00,5.16E+02,5.16E+02,,
,2104-96-3,BROMOPHOS,4.71E+02,6.32E+02,7.39E+02,2.02E+02,4.51E+05,3.28E+01,1.41E+02,1.41E+02,2.35E+02,3.16E+02,3.70E+02,1.01E+02,2.25E+05,1.64E+01,7.04E+01,7.04E+01,,F
,21087-64-9,METRIBUZIN,1.78E+03,2.35E+03,2.74E+03,8.28E+02,9.47E+03,3.18E-04,6.93E+02,6.93E+02,8.91E+02,1.18E+03,1.37E+03,4.14E+02,4.73E+03,1.59E-04,3.47E+02,3.47E+02,,
,21609-90-5,LEPTOPHOS,1.73E+02,2.35E+02,2.77E+02,6.77E+01,3.33E+04,5.77E-01,3.86E+01,3.86E+01,8.63E+01,1.18E+02,1.39E+02,3.39E+01,1.67E+04,2.88E-01,1.93E+01,1.93E+01,,
,2163-79-3,"3-(HEXAHYDRO-4,7-METHANOINDAN-5-YL)-1,1-DIMETHY*",3.56E+02,4.74E+02,5.54E+02,1.58E+02,2.59E+03,3.78E-03,1.30E+02,1.30E+02,1.78E+02,2.37E+02,2.77E+02,7.92E+01,1.29E+03,1.89E-03,6.51E+01,6.51E+01,,F
,2164-17-2,FLUOMETURON,9.16E+03,1.05E+04,1.14E+04,6.93E+03,3.96E+04,8.69E-02,7.01E+03,7.01E+03,4.58E+03,5.25E+03,5.70E+03,3.46E+03,1.98E+04,4.34E-02,3.51E+03,3.51E+03,,
,21725-46-2,CYANAZINE,1.30E+04,1.85E+04,2.21E+04,3.77E+03,8.56E+04,1.05E-04,1.76E+03,1.76E+03,6.48E+03,9.23E+03,1.11E+04,1.88E+03,4.28E+04,5.25E-05,8.82E+02,8.82E+02,,
,2212-67-1,MOLINATE,3.33E+01,3.62E+01,3.81E+01,2.85E+01,6.03E+03,3.76E-01,1.90E+02,1.90E+02,1.67E+01,1.81E+01,1.90E+01,1.43E+01,3.01E+03,1.88E-01,9.52E+01,9.52E+01,,
,2227-13-6,TETRASUL,1.97E+00,2.23E+00,2.40E+00,1.53E+00,1.52E+02,6.76E-02,1.28E-01,1.28E-01,9.83E-01,1.11E+00,1.20E+00,7.66E-01,7.59E+01,3.38E-02,6.42E-02,6.42E-02,,F
,2243-62-1,"1,5-DIAMINONAPHTHALENE",4.26E+02,5.72E+02,6.70E+02,1.81E+02,2.89E+03,1.34E-03,1.29E+02,3.58E+02,2.13E+02,2.86E+02,3.35E+02,9.05E+01,1.44E+03,6.69E-04,6.45E+01,1.79E+02,,
,2275-23-2,VAMIDOTHION,3.47E+01,5.19E+01,6.34E+01,6.06E+00,2.32E+02,9.34E-09,5.25E-01,5.25E-01,1.74E+01,2.60E+01,3.17E+01,3.03E+00,1.16E+02,4.67E-09,2.63E-01,2.63E-01,,
,22781-23-3,BENDIOCARB,1.61E+04,2.26E+04,2.69E+04,5.39E+03,2.81E+05,6.83E-01,1.25E+03,1.25E+03,8.07E+03,1.13E+04,1.34E+04,2.69E+03,1.40E+05,3.41E-01,6.27E+02,6.27E+02,,
,2303-16-4,diallate,2.41E+01,2.93E+01,3.27E+01,1.54E+01,4.50E+03,2.50E-01,1.87E+01,1.87E+01,1.20E+01,1.46E+01,1.64E+01,7.69E+00,2.25E+03,1.25E-01,9.34E+00,9.34E+00,,F
,2303-17-5,triallate,7.14E+01,8.06E+01,8.67E+01,5.62E+01,1.87E+04,2.39E+00,9.88E+01,9.88E+01,3.57E+01,4.03E+01,4.33E+01,2.81E+01,9.34E+03,1.20E+00,4.94E+01,4.94E+01,,
,2310-17-0,PHOSALONE,3.66E+03,5.57E+03,6.84E+03,4.83E+02,7.38E+04,2.44E-02,9.04E+01,9.04E+01,1.83E+03,2.79E+03,3.42E+03,2.42E+02,3.69E+04,1.22E-02,4.52E+01,4.52E+01,,
,23103-98-2,PIRIMICARB,2.29E+02,3.38E+02,4.10E+02,4.87E+01,1.65E+03,1.93E-04,9.56E+00,4.01E+01,1.15E+02,1.69E+02,2.05E+02,2.43E+01,8.24E+02,9.64E-05,4.78E+00,2.00E+01,,
,2312-35-8,PROPARGITE,1.16E+03,1.62E+03,1.93E+03,3.94E+02,1.44E+05,1.04E+00,4.35E+01,4.35E+01,5.80E+02,8.10E+02,9.63E+02,1.97E+02,7.21E+04,5.18E-01,2.17E+01,2.17E+01,,
,23135-22-0,OXAMYL,3.42E+03,4.22E+03,4.75E+03,2.08E+03,1.62E+04,1.60E-03,2.01E+03,2.01E+03,1.71E+03,2.11E+03,2.38E+03,1.04E+03,8.09E+03,8.00E-04,1.01E+03,1.01E+03,,
,23564-05-8,THIOPHANATE-METHYL,1.02E+03,1.53E+03,1.87E+03,1.72E+02,7.41E+03,6.53E-05,5.62E+00,1.18E+01,5.10E+02,7.64E+02,9.34E+02,8.61E+01,3.70E+03,3.27E-05,2.81E+00,5.92E+00,,
,2385-85-5,Mirex,1.52E+01,1.68E+01,1.78E+01,1.27E+01,1.72E+03,2.36E+00,1.95E+00,1.95E+00,7.62E+00,8.38E+00,8.89E+00,6.36E+00,8.59E+02,1.18E+00,9.77E-01,9.77E-01,,
,23950-58-5,PRONAMIDE,5.97E+02,7.71E+02,8.87E+02,3.07E+02,4.29E+03,1.39E-02,2.65E+02,2.65E+02,2.99E+02,3.86E+02,4.43E+02,1.54E+02,2.15E+03,6.95E-03,1.33E+02,1.33E+02,,
,24017-47-8,TRIAZOPHOS,4.69E+03,6.91E+03,8.39E+03,9.90E+02,1.29E+05,1.39E-01,4.75E+02,4.75E+02,2.35E+03,3.46E+03,4.20E+03,4.95E+02,6.45E+04,6.94E-02,2.38E+02,2.38E+02,,
,2425-06-1,CAPTAFOL,2.05E+04,3.07E+04,3.75E+04,3.56E+03,1.87E+05,1.59E-01,1.67E+02,1.67E+02,1.03E+04,1.54E+04,1.87E+04,1.78E+03,9.33E+04,7.95E-02,8.35E+01,8.35E+01,,
,2439-01-2,OXYTHIOQUINOX,1.33E+05,1.75E+05,2.03E+05,6.43E+04,2.38E+06,1.28E+01,8.34E+03,8.34E+03,6.67E+04,8.75E+04,1.01E+05,3.21E+04,1.19E+06,6.39E+00,4.17E+03,4.17E+03,,
,2439-10-3,DODINE,2.45E+03,3.68E+03,4.51E+03,3.83E+02,1.70E+04,4.40E-05,6.26E+00,6.26E+00,1.22E+03,1.84E+03,2.25E+03,1.92E+02,8.51E+03,2.20E-05,3.13E+00,3.13E+00,,F
,2465-27-2,BASIC YELLOW 2,2.16E+03,2.91E+03,3.42E+03,8.95E+02,1.42E+04,4.15E-03,1.14E+03,1.14E+03,1.08E+03,1.46E+03,1.71E+03,4.48E+02,7.11E+03,2.08E-03,5.71E+02,5.71E+02,,F
,2489-77-2,Trimethyl thiourea,2.98E-02,3.25E-02,3.44E-02,2.52E-02,1.81E+01,2.36E-04,1.53E+00,1.53E+00,1.49E-02,1.63E-02,1.72E-02,1.26E-02,9.06E+00,1.18E-04,7.63E-01,7.63E-01,,F
,25013-16-5,BUTYLATED HYDROXYANISOLE,5.35E+01,6.24E+01,6.83E+01,3.86E+01,8.84E+03,3.38E-01,1.60E+02,1.60E+02,2.67E+01,3.12E+01,3.42E+01,1.93E+01,4.42E+03,1.69E-01,8.00E+01,8.00E+01,,F
,25057-89-0,BENTAZONE,3.31E+01,4.37E+01,5.07E+01,1.55E+01,2.00E+02,1.06E-04,1.55E+01,1.55E+01,1.65E+01,2.18E+01,2.53E+01,7.75E+00,1.00E+02,5.32E-05,7.73E+00,7.73E+00,,
,25168-26-7,"2,4-D, ISOOCTYL ESTER",1.54E+01,1.94E+01,2.20E+01,8.74E+00,2.67E+03,7.74E-01,8.27E-01,8.27E-01,7.69E+00,9.68E+00,1.10E+01,4.37E+00,1.34E+03,3.87E-01,4.14E-01,4.14E-01,,
,25311-71-1,ISOFENPHOS,9.20E+03,1.32E+04,1.58E+04,2.59E+03,4.07E+05,4.48E-01,2.34E+04,2.34E+04,4.60E+03,6.58E+03,7.90E+03,1.29E+03,2.04E+05,2.24E-01,1.17E+04,1.17E+04,,
,2540-82-1,FORMOTHION,1.42E+02,1.81E+02,2.08E+02,7.53E+01,7.42E+02,1.10E-05,7.89E+01,7.89E+01,7.08E+01,9.07E+01,1.04E+02,3.76E+01,3.71E+02,5.51E-06,3.94E+01,3.94E+01,,
,2595-54-2,MECARBAM,2.72E+03,3.62E+03,4.22E+03,1.22E+03,1.68E+04,4.84E-03,1.34E+03,1.34E+03,1.36E+03,1.81E+03,2.11E+03,6.08E+02,8.38E+03,2.42E-03,6.70E+02,6.70E+02,,F
,2597-03-7,FENTHOATE,2.95E+04,4.34E+04,5.26E+04,6.41E+03,2.63E+05,4.34E-02,2.40E+03,2.40E+03,1.48E+04,2.17E+04,2.63E+04,3.20E+03,1.32E+05,2.17E-02,1.20E+03,1.20E+03,,F
,26002-80-2,PHENOTHRIN,6.28E+01,8.99E+01,1.08E+02,1.77E+01,1.56E+04,6.58E-02,2.12E-02,2.12E-02,3.14E+01,4.49E+01,5.40E+01,8.83E+00,7.82E+03,3.29E-02,1.06E-02,1.06E-02,,F
,2636-26-2,CYANOPHOS,2.06E+00,2.24E+00,2.36E+00,1.76E+00,7.07E+02,2.78E-02,4.92E+01,4.92E+01,1.03E+00,1.12E+00,1.18E+00,8.81E-01,3.54E+02,1.39E-02,2.46E+01,2.46E+01,,F
,26471-62-5,"2,4/2,6-TOLUENEDIISOCYANATE",7.02E-02,7.08E-02,7.12E-02,6.92E-02,1.48E+01,8.89E-03,1.83E-01,1.83E-01,3.51E-02,3.54E-02,3.56E-02,3.46E-02,7.38E+00,4.45E-03,9.17E-02,9.17E-02,,
,26628-22-8,Sodium azide,5.49E+02,5.54E+02,5.57E+02,5.41E+02,2.33E+03,4.81E-22,7.34E+02,7.34E+02,2.75E+02,2.77E+02,2.78E+02,2.71E+02,1.17E+03,2.41E-22,3.67E+02,3.67E+02,,F
,2691-41-0,"OCTAHYDRO-1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOC*",4.98E+02,5.09E+02,5.17E+02,4.79E+02,2.02E+03,3.64E-09,8.19E+02,8.19E+02,2.49E+02,2.55E+02,2.59E+02,2.39E+02,1.01E+03,1.82E-09,4.10E+02,4.10E+02,,F
,2698-41-1,o-Chlorobenzylidenemalononitrile,6.10E+02,6.93E+02,7.48E+02,4.72E+02,6.35E+03,1.16E-01,4.80E+02,4.80E+02,3.05E+02,3.46E+02,3.74E+02,2.36E+02,3.18E+03,5.81E-02,2.40E+02,2.40E+02,,F
,27314-13-2,NORFLURAZON,8.47E+03,1.20E+04,1.43E+04,2.63E+03,5.09E+04,3.95E-03,1.51E+03,1.51E+03,4.23E+03,5.98E+03,7.15E+03,1.32E+03,2.54E+04,1.98E-03,7.56E+02,7.56E+02,,
,2764-72-9,DIQUAT,1.43E+04,1.91E+04,2.22E+04,6.26E+03,7.70E+04,3.28E-04,4.86E+03,4.86E+03,7.13E+03,9.53E+03,1.11E+04,3.13E+03,3.85E+04,1.64E-04,2.43E+03,2.43E+03,,
,28249-77-6,THIOBENCARB,1.73E+03,2.30E+03,2.68E+03,7.76E+02,9.73E+04,6.44E-01,5.62E+01,5.62E+01,8.64E+02,1.15E+03,1.34E+03,3.88E+02,4.87E+04,3.22E-01,2.81E+01,2.81E+01,,
,28434-01-7,BIORESMETHRIN,1.59E+04,2.42E+04,2.97E+04,2.09E+03,1.47E+06,6.70E-01,1.70E+01,1.70E+01,7.95E+03,1.21E+04,1.49E+04,1.04E+03,7.37E+05,3.35E-01,8.51E+00,8.51E+00,,F
,2921-88-2,Chloropyrifos,2.38E+04,3.31E+04,3.93E+04,8.39E+03,6.23E+06,2.23E+02,7.09E+03,7.09E+03,1.19E+04,1.66E+04,1.96E+04,4.20E+03,3.12E+06,1.11E+02,3.54E+03,3.54E+03,,
,29232-93-7,PIRIMIPHOS-METHYL,1.50E+03,2.17E+03,2.62E+03,3.73E+02,2.71E+05,7.61E-01,3.17E+03,2.71E+03,7.48E+02,1.08E+03,1.31E+03,1.87E+02,1.36E+05,3.81E-01,1.59E+03,1.36E+03,,
,297-78-9,ISOBENZAN,3.24E+03,3.35E+03,3.43E+03,3.04E+03,1.63E+05,1.12E+02,1.05E+04,1.05E+04,1.62E+03,1.68E+03,1.72E+03,1.52E+03,8.14E+04,5.58E+01,5.23E+03,5.23E+03,,F
,298-00-0,Parathion-methyl,1.64E+03,2.35E+03,2.82E+03,4.58E+02,6.50E+04,1.41E-01,1.72E+02,1.72E+02,8.21E+02,1.18E+03,1.41E+03,2.29E+02,3.25E+04,7.05E-02,8.59E+01,8.59E+01,,
,298-02-2,PHORATE,4.63E+02,5.93E+02,6.80E+02,2.46E+02,4.23E+05,1.33E+00,1.19E+04,1.19E+04,2.32E+02,2.97E+02,3.40E+02,1.23E+02,2.11E+05,6.65E-01,5.94E+03,5.94E+03,,
,298-04-4,Disulfoton,2.06E+03,2.86E+03,3.40E+03,7.24E+02,6.64E+05,4.59E+00,3.11E+03,3.11E+03,1.03E+03,1.43E+03,1.70E+03,3.62E+02,3.32E+05,2.30E+00,1.56E+03,1.56E+03,,
,29973-13-5,ETHIOFENCARB,8.14E+02,1.11E+03,1.30E+03,3.25E+02,4.80E+03,1.20E-03,2.49E+02,2.49E+02,4.07E+02,5.54E+02,6.52E+02,1.62E+02,2.40E+03,6.02E-04,1.24E+02,1.24E+02,,F
,299-84-3,RONNEL,1.24E+02,1.50E+02,1.67E+02,8.01E+01,5.97E+04,6.65E+00,1.67E+02,1.67E+02,6.18E+01,7.49E+01,8.36E+01,4.01E+01,2.98E+04,3.32E+00,8.37E+01,8.37E+01,,
,299-86-5,CRUFOMATE,1.34E+02,1.74E+02,2.01E+02,6.74E+01,2.90E+03,2.16E-02,1.14E+02,1.14E+02,6.72E+01,8.72E+01,1.01E+02,3.37E+01,1.45E+03,1.08E-02,5.68E+01,5.68E+01,,F
,300-76-5,NALED,4.07E+02,4.20E+02,4.28E+02,3.87E+02,6.09E+04,4.53E+01,9.68E+01,9.68E+01,2.04E+02,2.10E+02,2.14E+02,1.94E+02,3.05E+04,2.27E+01,4.84E+01,4.84E+01,,
,302-01-2,Hydrazine,4.87E+03,6.28E+03,7.23E+03,2.51E+03,2.78E+04,2.38E+00,1.95E+03,2.14E+03,2.43E+03,3.14E+03,3.61E+03,1.26E+03,1.39E+04,1.19E+00,9.73E+02,1.07E+03,,F
